Raters;101F;102F;103F;104F;105F;106F;113F;114F;115F;116F;117F;118F;125F;126F;127F;128F;129F;130F;131F;132F;133F;134F;135F;136F;143F;144F;145F;146F;147F;148F;167F;168F;169F;170F;171F;172F;173F;174F;175F;176F;185F;194F;195F;196F;197F;198F;199F;200F;201F
CMR16F_fem1;6;5;3;4;5;4;6;4;4;2;5;4;4;3;3;4;4;4;4;4;6;5;6;3;4;5;4;5;3;5;4;5;4;4;6;5;5;3;5;3;5;3;5;4;3;4;5;6;6
CMR16F_fem2;5;5;5;4;5;5;7;6;4;4;5;5;6;3;3;5;6;5;6;5;4;5;4;4;4;6;4;5;5;5;6;5;5;4;6;5;6;4;5;5;4;3;6;7;4;5;4;6;4
CMR16F_fem3;7;5;4;5;3;6;7;6;6;5;7;5;6;6;5;6;4;5;7;5;5;7;5;5;7;6;4;5;5;7;5;7;4;6;5;6;7;6;7;4;7;2;7;7;5;7;5;7;7
CMR16F_fem4;7;5;4;5;2;7;5;7;5;5;4;7;5;3;6;4;7;6;6;5;4;6;4;5;7;4;7;5;5;7;7;3;3;5;4;3;3;2;5;4;7;2;7;7;2;5;6;7;7
CMR16F_fem5;6;6;3;4;2;5;2;5;5;5;3;5;3;4;4;6;3;3;5;5;5;4;4;5;5;4;3;4;3;4;4;6;4;5;4;4;5;3;4;2;4;1;4;5;4;2;5;6;7
CMR16F_fem6;6;5;5;6;4;6;6;7;5;4;5;6;6;6;7;7;4;6;7;4;5;6;6;6;5;5;5;7;6;6;6;5;6;6;5;5;5;5;6;5;6;5;5;6;5;4;5;6;7
CMR16F_fem7;5;5;2;1;2;1;5;4;5;2;2;7;6;4;2;3;4;3;5;5;2;4;4;6;4;3;2;4;2;2;4;5;3;4;3;2;3;5;7;5;2;2;5;3;2;4;3;4;7
CMR16F_fem8;7;4;2;2;2;5;4;7;7;2;4;5;4;4;3;5;4;5;7;5;4;2;4;7;5;7;2;5;5;7;5;4;4;2;2;7;4;2;7;2;7;2;5;7;2;2;4;7;7
CMR16F_fem9;3;3;2;2;3;4;6;5;4;3;1;4;2;3;4;3;4;3;4;5;4;3;4;5;3;4;5;4;4;3;3;2;2;3;5;4;1;1;4;2;5;2;5;3;3;1;2;5;7
CMR16F_fem10;2;3;3;5;4;3;3;2;4;6;4;4;3;4;5;6;4;2;2;2;1;3;7;3;2;5;3;2;4;3;4;3;4;3;2;4;3;5;5;4;3;3;3;2;4;5;3;2;7
CMR16F_fem11;7;5;5;4;4;5;6;7;7;4;5;6;7;5;4;5;5;6;6;4;6;6;6;7;7;6;5;7;5;6;7;4;6;5;5;7;6;5;6;4;4;3;6;6;6;4;5;7;7
CMR16F_fem12;2;7;2;2;1;2;5;7;6;5;3;7;2;6;5;4;2;5;6;4;1;3;3;7;3;3;6;6;3;4;4;1;5;7;6;7;7;7;7;1;2;2;4;3;3;6;4;6;4
CMR16F_fem13;5;3;1;2;3;2;7;3;7;3;2;6;4;5;6;6;2;4;3;4;2;2;2;2;7;2;3;3;5;2;1;4;2;1;1;5;5;3;7;2;4;1;2;2;4;2;3;7;3
CMR16F_fem14;7;4;4;2;3;5;6;6;7;3;2;5;6;4;4;6;5;4;5;5;4;7;4;2;6;4;3;2;4;2;4;4;4;4;5;5;5;1;4;4;5;3;4;6;4;1;6;7;7
CMR16F_fem15;5;5;4;2;3;5;4;4;5;4;4;6;4;5;4;4;3;5;5;5;3;4;4;5;4;4;3;6;3;5;6;3;5;4;4;5;4;3;7;3;6;1;5;7;4;3;3;7;7
CMR16F_fem16;6;6;5;5;6;6;6;6;6;6;6;7;6;6;5;6;5;6;7;5;6;4;6;7;6;6;6;6;7;7;6;6;6;6;6;6;5;7;6;5;6;4;4;6;5;6;7;6;7
CMR16F_fem17;7;2;6;4;6;1;6;7;6;1;4;7;3;1;1;7;4;5;7;3;2;4;7;7;7;1;5;7;6;4;6;6;2;1;1;2;7;1;7;1;7;1;3;7;5;1;5;2;7
CMR16F_fem18;7;7;4;1;2;2;7;3;6;5;2;6;3;2;6;1;2;7;4;4;2;1;1;1;7;3;1;7;1;1;2;2;7;5;4;4;3;5;5;3;1;1;6;6;2;1;4;2;7
CMR16F_fem19;7;5;5;6;1;3;6;5;5;4;4;5;7;2;5;5;4;3;5;5;4;5;5;3;7;6;4;6;5;4;4;2;3;6;2;6;4;2;5;1;4;1;6;6;4;4;6;7;7
CMR16F_fem20;7;3;2;4;1;4;7;5;6;1;1;3;2;1;1;3;2;4;7;1;3;4;3;3;5;4;2;6;3;1;4;1;5;5;4;6;5;2;7;2;4;1;1;5;1;1;2;7;6
CMR16F_fem21;6;4;2;4;2;4;4;5;5;4;4;3;5;3;5;5;5;4;6;4;3;6;5;3;5;3;3;5;3;4;5;5;5;4;6;5;4;2;4;3;6;1;5;6;4;3;5;5;6
CMR16F_fem22;2;1;1;2;1;2;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1
CMR16F_fem23;7;7;6;6;5;7;6;5;7;2;5;6;1;3;7;7;4;5;7;6;6;7;7;5;1;5;4;6;6;7;7;7;5;7;7;7;6;1;7;6;4;5;5;4;6;3;7;7;7
