Rater;2040_M;4042_M;4090_M;4120_M;4130_M;4170_M;4200_M;6060_M;6080_M;7040_M;7060_M;7070_M;7090_M;7100_M;8010_M;8020_M;8030_M;8040_M;8050_M;8060_M;8070_M;8080_M;8090_M;8100_M;8110_M;9010_M;9012_M;9013_M;9020_M;9022_M;9023_M;9030_M;9032_M;9033_M;9040_M;9042_M;9043_M;9050_M;9052_M;9053_M;9060_M;9062_M;9063_M;9070_M;9072_M;9073_M;9082_M;9083_M;9102_M;9112_M
CZ16_M_masc1;4;5;4;2;4;4;5;5;3;4;5;3;3;4;4;5;2;3;3;6;2;1;3;2;3;2;3;6;4;3;2;3;3;3;4;2;4;3;6;2;5;6;3;3;6;3;2;2;4;3
CZ16_M_masc2;3;3;3;3;4;3;4;4;4;3;3;3;3;4;4;4;4;3;3;4;3;3;3;2;4;3;3;4;3;3;3;4;3;4;4;3;4;3;4;3;4;4;3;3;5;3;4;3;4;4
CZ16_M_masc3;5;5;4;3;4;5;4;3;3;4;3;4;5;4;4;4;4;3;3;6;3;4;5;3;2;4;5;6;4;5;4;5;3;4;5;3;5;3;4;5;4;5;4;3;4;3;3;3;4;3
CZ16_M_masc4;5;3;2;4;6;4;2;3;5;5;4;4;2;5;4;3;3;2;3;3;4;2;5;4;5;4;3;5;3;3;5;6;4;4;4;3;3;5;5;3;4;3;5;3;5;3;4;3;4;5
CZ16_M_masc5;3;3;5;3;4;4;6;3;5;3;3;5;3;5;3;6;3;3;2;4;2;2;3;3;2;3;2;4;3;3;2;2;3;6;5;2;3;4;5;3;4;4;6;4;7;3;4;2;4;2
CZ16_M_masc6;5;4;4;2;3;4;5;4;2;3;4;3;3;2;3;2;2;2;1;5;1;3;3;3;4;2;3;4;4;2;4;3;3;3;4;2;5;3;3;2;4;5;2;5;6;4;3;2;2;4
CZ16_M_masc7;4;3;3;2;3;6;3;3;3;3;3;4;2;4;3;1;3;2;3;6;4;3;4;3;4;3;3;5;2;3;4;3;3;4;3;3;4;2;3;4;4;6;3;3;5;3;2;3;3;3
CZ16_M_masc8;3;3;4;3;4;3;4;4;5;4;4;4;3;3;3;4;3;3;4;5;3;2;4;3;4;3;2;5;3;4;2;3;4;4;5;4;4;3;4;4;4;5;3;2;5;3;3;2;3;4
CZ16_M_masc9;4;5;4;3;5;6;5;6;3;5;5;4;4;6;6;5;5;3;4;7;5;5;4;1;5;2;1;7;2;1;2;5;4;6;5;1;6;5;6;3;5;6;5;6;7;4;3;4;5;6
CZ16_M_masc10;6;6;6;6;5;5;7;6;5;6;5;6;5;6;5;7;3;6;6;7;2;1;3;5;5;1;1;7;5;3;3;5;6;6;5;3;6;6;4;2;7;4;5;5;7;3;3;5;6;1
CZ16_M_masc11;4;3;6;3;3;4;6;4;5;4;4;5;4;6;5;5;2;4;2;5;2;2;3;1;4;1;2;5;3;2;3;4;3;4;4;3;4;3;5;3;5;5;5;4;7;4;2;3;6;2
CZ16_M_masc12;7;6;4;5;5;7;7;7;7;4;5;6;7;5;5;7;6;6;6;2;4;3;6;3;6;5;3;6;6;6;5;3;4;6;7;6;7;5;4;1;4;7;4;4;6;5;2;1;5;4
CZ16_M_masc13;4;5;2;3;1;4;5;5;3;2;2;3;4;3;4;4;4;5;2;4;3;2;3;1;2;2;2;6;2;4;3;5;2;5;5;2;2;3;4;3;3;3;3;4;7;4;3;2;5;3
CZ16_M_masc14;4;4;4;5;2;3;4;5;2;3;2;4;4;2;4;4;3;4;2;5;3;2;3;1;3;1;2;5;3;2;2;3;5;4;4;3;3;3;3;2;5;5;3;3;7;4;2;3;5;4
CZ16_M_masc15;4;4;4;3;5;4;5;5;4;4;4;3;3;4;4;4;3;6;3;5;4;3;4;3;4;2;3;5;4;4;2;4;4;4;4;3;3;4;5;3;4;4;4;5;6;3;4;3;3;2
CZ16_M_masc16;7;6;5;5;5;5;6;7;5;4;5;5;6;4;5;6;4;7;4;6;5;5;5;4;7;5;5;6;4;5;5;4;5;5;7;5;6;4;5;4;5;6;4;7;6;5;3;4;4;6
CZ16_M_masc17;5;4;2;5;3;3;5;6;4;6;5;3;3;6;6;2;5;2;3;6;4;2;5;3;5;4;5;6;2;1;5;1;2;2;5;4;6;1;3;5;6;6;3;5;7;5;4;3;4;5
CZ16_M_masc18;4;4;4;3;4;4;3;5;4;4;3;4;4;3;6;4;3;5;4;4;3;3;2;1;3;3;4;4;4;3;4;4;4;3;4;2;5;3;4;3;6;4;4;4;6;3;3;5;5;5
CZ16_M_masc19;2;3;2;2;2;3;5;5;3;2;3;3;3;3;5;4;3;4;3;5;2;2;2;1;4;1;1;5;3;2;2;4;3;3;2;2;4;4;3;2;3;4;3;4;6;3;1;2;4;2
CZ16_M_masc20;3;3;3;3;3;3;4;5;2;3;3;3;3;3;4;3;3;4;3;4;3;3;2;2;4;2;3;4;4;2;3;4;2;5;4;3;4;3;5;2;4;5;3;4;6;2;2;2;3;4
CZ16_M_masc21;3;4;4;2;2;3;4;4;2;2;4;4;3;4;5;4;4;5;2;6;5;2;2;2;4;4;2;5;3;3;3;4;2;4;3;2;3;2;5;3;4;4;4;5;6;2;2;3;4;3
CZ16_M_masc22;6;6;6;6;7;5;7;7;6;7;5;6;6;5;6;6;5;7;6;6;3;3;6;4;4;1;4;5;4;5;4;4;6;5;4;4;6;5;7;3;7;6;5;6;7;6;4;4;5;5
CZ16_M_masc23;5;5;6;6;6;4;5;7;5;6;6;5;5;5;6;6;2;6;4;6;4;3;5;2;4;1;3;4;5;3;5;4;6;5;4;3;5;4;4;4;7;7;4;6;7;6;4;5;5;5
CZ16_M_masc24;4;4;5;3;4;4;5;5;4;4;5;4;3;3;5;4;4;5;3;5;3;4;3;1;5;3;2;5;5;2;5;4;4;6;6;5;4;3;5;2;4;5;2;5;6;4;2;4;5;4
CZ16_M_masc25;2;2;3;2;3;3;4;2;2;3;2;3;2;2;3;2;2;2;2;3;2;2;2;2;2;2;2;3;2;2;2;3;3;3;4;2;3;2;3;2;4;4;3;2;4;3;2;2;2;2
CZ16_M_masc26;1;2;6;2;3;4;4;6;1;3;1;4;6;4;4;1;1;4;4;6;3;1;6;1;2;1;1;6;1;1;1;3;4;6;1;1;4;2;6;4;3;5;2;4;6;4;2;2;1;2
CZ16_M_masc27;5;6;5;3;6;5;5;6;3;5;5;4;3;6;7;3;4;6;4;5;3;4;4;3;6;3;2;6;4;3;6;3;6;5;6;5;3;6;5;2;7;6;3;5;7;4;2;2;4;5
CZ16_M_masc28;2;2;5;2;2;4;3;4;2;3;3;1;1;6;5;3;3;3;3;5;2;2;1;3;3;1;2;4;5;2;3;3;2;3;4;2;4;3;4;2;4;3;4;3;7;3;1;2;1;1
CZ16_M_masc29;2;3;4;2;5;4;4;5;3;4;3;4;3;5;6;4;4;5;3;5;4;3;2;2;6;3;2;6;5;3;3;3;3;5;4;2;5;3;6;2;6;5;2;5;7;2;3;4;5;3
CZ16_M_masc30;5;5;7;5;5;6;6;6;2;6;6;5;3;6;5;3;6;5;5;6;5;1;4;1;5;2;2;6;5;2;6;2;6;4;3;3;7;5;1;5;5;6;5;7;7;3;4;5;3;7
CZ16_M_masc31;7;4;3;4;5;6;6;6;6;3;5;5;5;4;6;4;4;6;4;6;4;3;4;5;5;4;3;7;3;4;5;5;6;5;7;5;6;5;5;5;6;7;4;5;7;5;6;5;5;4
CZ16_M_masc32;3;3;5;3;4;4;4;5;3;4;4;3;4;5;5;4;3;4;5;5;3;3;2;3;3;1;3;5;5;4;2;3;4;4;3;3;4;5;3;2;5;4;3;3;6;4;3;5;3;4
CZ16_M_masc33;5;3;1;1;2;3;4;6;4;3;4;6;1;6;5;4;5;3;4;4;5;1;4;2;2;1;2;7;4;3;2;2;3;4;3;1;3;6;2;5;3;3;3;7;7;3;1;3;5;3
CZ16_M_masc34;6;6;5;6;4;4;7;7;4;5;6;5;5;5;5;5;6;5;4;5;4;5;6;4;6;5;5;6;5;4;5;5;5;6;7;5;5;4;6;5;6;5;5;5;7;6;5;5;6;5
CZ16_M_masc35;4;4;4;4;4;5;5;5;5;4;4;4;4;5;5;5;4;5;4;5;4;2;4;4;4;3;4;5;4;4;3;6;4;5;4;3;4;4;4;4;5;5;4;4;6;4;4;4;4;4
CZ16_M_masc36;2;4;5;2;3;4;6;4;1;3;3;2;4;5;6;4;4;4;4;5;4;1;3;2;2;1;2;6;6;2;1;4;3;5;2;1;3;3;5;2;5;4;2;3;7;4;2;2;4;2
CZ16_M_masc37;6;6;6;5;7;6;7;7;4;7;6;5;6;5;6;5;5;7;6;6;5;6;4;4;6;3;3;6;7;5;5;6;7;5;6;5;5;5;5;4;6;6;4;7;7;5;5;6;5;6
CZ16_M_masc38;4;4;5;3;4;4;5;5;4;4;4;5;5;5;5;4;4;5;3;6;5;3;4;3;3;4;3;6;4;4;4;3;4;5;5;4;4;4;5;4;4;5;5;4;7;5;5;4;5;3
CZ16_M_masc39;4;3;4;3;2;3;4;6;3;3;5;2;3;4;4;2;3;4;2;4;3;3;3;2;3;3;2;4;3;2;2;4;3;3;3;4;5;2;3;2;5;3;2;4;6;4;3;4;4;4
CZ16_M_masc40;4;4;3;2;4;3;5;4;4;4;2;2;3;4;5;3;3;3;2;6;4;1;4;1;5;1;3;5;3;3;3;4;2;4;4;3;4;5;6;3;4;4;3;3;6;2;1;1;3;2
CZ16_M_masc41;5;4;5;4;4;4;5;6;5;4;5;4;5;4;5;5;5;5;4;5;3;3;4;2;5;3;3;5;4;4;3;5;5;5;5;4;6;4;4;4;4;6;3;4;5;4;3;4;5;4
CZ16_M_masc42;6;4;5;2;6;5;7;6;2;6;6;4;6;6;6;4;2;6;4;6;3;2;4;1;6;3;4;6;2;4;5;6;5;2;6;3;5;4;6;3;6;6;5;4;7;4;3;5;4;3
CZ16_M_masc43;6;3;5;2;3;6;7;6;6;2;5;6;7;5;6;6;2;6;2;5;2;1;3;3;5;4;2;6;2;3;2;2;2;6;6;3;5;2;5;3;6;6;5;3;7;6;6;2;6;5
CZ16_M_masc44;4;3;4;3;2;5;3;2;4;3;4;3;4;4;3;3;3;4;3;4;3;2;4;2;4;2;3;5;3;3;3;3;4;3;5;3;5;4;5;3;5;4;4;2;6;3;4;4;5;5
CZ16_M_masc45;4;3;5;3;5;6;6;5;2;6;5;5;5;5;5;4;4;4;4;7;3;1;3;3;5;1;2;7;5;3;2;5;4;5;2;1;5;5;5;2;5;5;4;4;7;3;2;4;6;1
CZ16_M_masc46;5;2;4;2;3;6;6;5;3;2;3;2;5;5;3;4;2;4;3;5;4;1;5;2;5;3;3;5;2;3;6;3;2;6;5;2;4;4;4;5;5;5;2;4;7;4;2;3;4;2
CZ16_M_masc47;3;5;5;4;5;4;6;6;5;5;6;4;5;4;5;5;3;6;6;6;2;1;5;2;4;2;2;6;3;4;2;4;5;5;3;1;6;5;5;4;5;5;2;5;7;5;1;4;5;5
CZ16_M_masc48;4;2;3;1;3;4;3;3;4;4;1;3;5;5;5;2;2;4;2;5;3;1;2;3;4;2;1;6;4;2;2;3;2;6;5;2;2;4;6;5;4;5;4;1;7;3;3;3;4;2
CZ16_M_masc49;2;4;4;3;4;4;4;5;3;3;3;2;5;3;5;4;3;4;3;4;2;1;2;2;5;1;3;5;2;4;2;3;3;5;6;2;5;3;4;2;5;4;2;4;7;3;2;2;2;3
CZ16_M_masc50;4;5;5;4;5;5;5;4;4;5;5;5;3;5;6;5;5;5;5;5;4;2;4;3;4;4;4;5;4;4;6;4;5;4;5;5;5;5;5;4;4;4;4;5;6;4;2;3;3;4
CZ16_M_masc51;4;5;5;2;4;4;5;5;2;1;4;4;5;4;5;3;4;3;3;6;4;2;2;1;4;1;3;5;1;2;2;4;2;4;3;3;5;3;5;3;5;4;2;4;7;2;3;3;5;3
CZ16_M_masc52;4;4;6;4;4;6;3;5;4;4;3;4;5;5;5;5;5;5;4;6;5;1;5;2;5;2;4;3;3;1;2;5;4;5;3;4;5;5;5;3;5;6;5;5;7;5;4;4;4;7
CZ16_M_masc53;4;2;6;2;2;2;6;3;2;3;5;3;5;3;3;3;2;6;2;4;2;2;2;5;2;2;2;6;6;3;5;4;3;4;5;2;3;3;6;6;4;2;2;2;6;4;2;2;5;3
CZ16_M_masc54;3;2;3;2;2;3;3;2;2;2;2;2;2;3;3;2;2;3;3;4;3;2;3;2;2;2;2;4;3;2;3;3;2;3;3;3;3;3;4;4;4;3;2;2;6;3;3;2;3;3
