Rater;1010_M;1030_M;1080_M;1090_M;1110_M;1120_M;1130_M;1160_M;2010_M;2021_M;2040_M;3020_M;3030_M;4010_M;4030_M;4040_M;4050_M;4070_M;4080_M;4140_M;4150_M;4170_M;4180_M;4200_M;4210_M;4220_M;4230_M;7020_M;7030_M;7060_M;8030_M;8040_M;8050_M;8090_M;8140_M;9010_M;10020_M;11010_M;11020_M
CZ_masc_1;4;5;3;6;3;3;3;1;3;4;5;5;3;4;9;6;3;1;3;1;2;8;4;2;4;3;3;2;2;2;2;4;3;3;2;4;3;3;2
CZ_masc_2;5;4;4;5;3;3;4;5;5;5;4;7;3;5;9;5;4;4;4;3;1;2;4;4;5;5;2;2;3;3;5;6;5;4;1;4;3;3;2
CZ_masc_3;1;3;4;4;4;3;3;2;4;5;5;5;3;3;9;4;2;3;3;3;3;7;4;2;5;5;3;2;3;4;5;6;3;2;3;2;4;4;3
CZ_masc_4;4;5;4;6;6;5;6;2;3;6;4;7;4;5;3;7;6;3;3;3;4;3;4;5;4;5;5;5;2;4;5;5;6;3;2;6;5;5;4
CZ_masc_5;3;4;4;5;3;3;4;3;2;3;6;3;4;5;3;5;6;3;3;2;2;2;5;4;6;6;2;3;4;3;2;3;5;3;4;2;7;5;5
CZ_masc_6;6;3;5;5;3;4;4;3;5;3;4;5;4;5;3;4;4;3;5;3;2;3;2;3;4;6;3;5;3;6;3;6;4;6;3;4;4;5;4
CZ_masc_7;6;3;4;6;2;3;2;2;4;6;7;7;4;5;9;6;2;1;6;2;2;7;3;2;5;6;3;4;2;2;4;5;4;2;2;5;5;6;5
CZ_masc_8;5;3;6;6;3;3;4;4;5;4;5;5;3;5;2;6;4;2;5;2;4;8;3;2;3;5;3;3;3;3;4;6;5;3;2;3;5;3;4
CZ_masc_9;5;4;2;4;1;3;4;3;1;5;7;5;2;5;8;5;4;2;7;1;2;3;4;2;4;6;2;7;2;5;5;6;4;4;1;4;4;4;4
CZ_masc_10;4;6;3;4;4;2;2;2;6;4;6;6;4;2;3;7;3;1;6;2;1;2;1;1;3;2;1;2;3;3;2;5;5;2;1;2;2;5;6
CZ_masc_11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;7;7;7;7;7;7;5;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
CZ_masc_12;3;5;4;4;4;4;3;3;5;5;4;4;2;4;8;4;3;3;3;3;4;7;5;4;5;6;3;5;3;5;6;5;4;4;2;4;5;4;2
CZ_masc_13;4;4;3;7;7;7;5;3;2;5;5;7;6;6;8;7;6;4;6;4;4;3;2;6;7;5;6;5;3;4;5;6;6;2;2;5;7;4;7
CZ_masc_14;5;4;3;5;5;3;4;2;5;4;6;6;2;6;8;6;3;4;6;3;2;8;2;2;5;5;2;3;3;3;3;6;4;4;2;4;4;3;5
CZ_masc_15;5;1;6;5;2;2;5;2;3;5;4;7;6;6;3;6;5;5;3;5;5;7;2;1;5;6;3;5;2;6;4;7;5;3;2;6;7;4;5
CZ_masc_16;4;5;6;4;4;5;5;4;5;5;4;3;5;6;2;4;4;4;5;3;4;4;4;4;5;6;4;6;4;5;5;6;5;5;3;4;5;5;4
CZ_masc_17;4;5;5;6;4;4;5;4;5;5;5;6;5;6;8;6;4;3;4;3;3;2;5;4;5;5;3;4;4;5;3;6;4;4;2;4;5;4;4
