Rater;H038;H039;H040;H041;H042;H043;H047;H048;H049;H050;H051;H052;H053;H054;H056;H058;H059;H061;H062;H063;H064;H065;H066;H067;H068;H069;H070;H073;H074;H076;H077;H078;H080;H081;H083;H084;H086;H087;H088;H089;H090;H091;H093;H094;H096;H097;H098;H099;H100;H101;H102;H103;H104;H105;H106;H107;H108;H109;H112;H114;H116;H117;H119;H120;H121;H122;H123;H125;H127;H128;H129;H130
Col_M_attr1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Col_M_attr7;NA;3;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;4;4;NA;NA;NA;2;4;NA;NA;NA;2;NA;NA;NA;NA;NA;3;NA;NA;NA;NA;NA;2;NA;NA;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;4;NA;NA;NA;NA;NA;NA;4;NA;NA;NA
Col_M_attr8;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;NA;3;NA;2;NA;NA;NA;NA;2;3;NA;NA;2;NA;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;NA;4;3;NA;3;NA;NA;4;NA;NA;NA;NA;2;NA;NA;NA;NA;4;NA;NA;NA;NA
Col_M_attr9;4;NA;NA;NA;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;4;2;NA;NA;NA;3;NA;NA;NA;3;NA;NA;NA;NA;5;4;NA;3;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;NA;4;NA;NA
Col_M_attr10;NA;NA;NA;1;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;1;NA;1;2;NA;1;NA;1;NA;1
