Rater	1011_F	1041_F	1051_F	1061_F	2011_F	2021_F	2031_F	2051_F	3011_F	3021_F	4021_F	4031_F	4051_F	4061_F	4071_F	4081_F	4101_F	4111_F	4141_F	4151_F	4161_F	4191_F	4211_F	4221_F	4231_F	4241_F	4251_F	5011_F	5021_F	5031_F	5041_F	5051_F	5061_F	5071_F	5091_F	5101_F	5111_F	5121_F	5141_F	5151_F	5161_F	5171_F	5181_F	5191_F	5211_F	5231_F	6051_F	6091_F	6121_F	6131_F
CZ16R1	4	3	6	4	3	3	3	4	3	3	3	4	4	4	4	3	4	4	6	5	3	6	3	5	3	5	3	3	3	3	3	3	3	5	3	3	4	4	4	4	3	3	5	4	4	4	5	3	4	4
CZ16R2	2	1	3	2	2	1	1	2	2	1	2	1	3	2	1	1	3	3	2	3	1	5	1	3	2	2	2	1	2	2	2	2	1	2	1	2	2	3	1	1	1	4	3	1	3	2	2	1	2	2
CZ16R3	3	1	4	4	3	1	2	2	3	2	2	2	4	6	2	2	6	4	3	4	1	4	2	2	4	3	2	2	4	2	2	4	3	3	2	2	2	4	4	2	3	7	6	2	4	3	5	3	4	5
CZ16R4	2	2	5	5	1	1	1	3	4	2	2	2	5	6	2	4	5	5	4	5	1	5	2	5	2	1	2	2	3	1	4	3	2	5	2	1	4	5	2	2	2	6	4	1	4	3	5	3	2	4
CZ16R5	1	1	4	1	3	1	3	4	2	1	2	4	4	4	4	3	4	2	7	4	4	4	4	4	4	4	4	1	4	1	2	4	4	4	1	1	6	4	4	1	2	6	4	4	3	4	4	2	1	4
CZ16R6	2	1	4	3	2	1	2	2	2	3	2	2	3	3	3	2	4	3	3	3	2	6	2	2	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	2	3	5	4	3	4	3	4	2	2	3
CZ16R7	2	1	5	5	2	2	2	3	3	1	2	2	4	4	2	1	3	3	4	3	1	4	2	5	2	2	2	2	2	2	2	2	3	4	3	2	2	4	2	2	2	3	3	2	4	3	3	3	2	3
CZ16R8	2	1	4	4	2	1	1	2	3	1	1	1	3	5	2	2	5	5	2	5	1	3	4	4	2	2	1	2	3	1	2	3	2	6	1	1	2	5	3	3	2	2	4	2	3	2	3	1	2	3
CZ16R9	1	1	2	1	1	3	1	3	1	5	1	1	1	1	1	1	1	1	6	3	1	2	5	4	1	4	2	1	1	1	1	1	1	1	1	1	5	5	1	1	1	1	2	1	6	2	1	1	1	4
CZ16R10	2	1	3	2	2	1	2	2	2	2	1	2	2	3	2	1	4	4	3	2	1	4	2	4	2	2	1	1	2	1	2	2	3	2	2	1	2	2	2	1	2	4	4	1	2	3	4	1	1	4
CZ16R11	1	1	5	1	1	1	1	1	1	3	1	1	1	3	1	1	1	3	6	1	1	3	2	5	1	1	4	1	1	1	1	1	1	1	1	3	6	5	1	1	1	4	4	1	6	5	3	1	1	3
CZ16R12	3	2	4	2	2	2	2	4	3	2	2	2	2	4	2	2	5	3	5	4	1	5	4	4	3	3	2	2	5	3	2	3	2	4	1	2	2	4	2	2	3	6	2	1	2	2	2	2	3	5
CZ16R13	2	1	5	3	3	1	1	3	4	1	2	1	3	3	2	3	3	4	3	4	1	7	2	1	2	2	2	3	3	1	1	3	2	4	2	1	3	3	2	2	2	7	5	2	2	3	4	3	2	5
CZ16R14	2	1	6	2	2	2	3	5	3	1	1	4	3	5	2	4	7	4	4	5	1	6	4	6	2	4	2	3	3	3	2	3	2	5	1	2	3	6	4	2	3	6	6	2	4	5	6	5	4	5
CZ16R15	2	2	2	2	2	1	2	2	4	2	1	1	2	2	2	2	3	2	2	3	1	5	2	2	1	2	1	1	2	1	2	2	1	3	1	2	3	3	2	2	1	4	2	1	2	2	3	2	2	2
CZ16R16	1	1	3	1	1	2	1	1	1	3	1	3	1	2	1	1	2	1	3	3	1	4	2	3	1	1	3	1	1	1	1	1	1	1	1	1	3	4	1	1	1	4	2	1	4	3	1	1	1	2
CZ16R17	1	2	2	2	4	1	1	2	2	3	2	2	2	2	2	1	3	3	1	4	1	5	5	7	1	2	4	2	1	1	2	2	1	2	1	3	4	3	2	2	1	3	4	1	2	1	3	2	1	2
CZ16R18	3	2	4	3	2	1	2	2	3	2	2	1	3	3	2	2	4	4	3	3	1	3	4	5	1	3	2	2	2	1	2	3	2	6	2	1	2	4	2	2	2	3	3	2	3	2	3	2	2	3
CZ16R19	2	1	3	1	2	1	1	2	1	1	1	1	2	3	2	3	2	3	1	2	1	3	2	3	2	1	2	1	2	1	2	2	1	2	1	1	2	2	2	1	2	3	4	2	3	2	2	2	2	2
CZ16R20	2	1	3	1	3	1	1	2	1	1	1	1	2	2	1	2	3	3	2	3	1	4	1	3	1	1	1	1	2	2	2	2	1	2	1	1	3	4	1	1	1	4	3	1	2	4	3	2	2	3
CZ16R21	1	1	3	1	2	1	1	1	1	1	1	1	1	2	1	2	2	2	1	2	1	4	1	3	1	1	2	1	3	1	1	1	1	4	1	1	3	3	1	1	1	3	1	1	3	1	1	1	1	1
CZ16R22	4	1	6	3	2	1	2	3	5	5	4	4	4	5	4	6	6	5	5	5	2	7	3	6	3	2	4	2	3	3	3	3	2	5	1	1	4	7	4	2	4	6	6	3	5	5	5	4	3	5
CZ16R23	3	2	4	4	4	3	3	2	4	3	2	3	4	3	3	3	4	4	4	4	2	6	3	3	3	4	3	3	4	3	4	4	2	4	3	3	4	5	3	3	3	4	4	3	5	4	4	4	4	5
CZ16R24	3	3	4	2	3	1	2	2	3	2	2	2	3	4	3	2	4	6	3	6	2	6	3	5	2	4	4	2	5	3	2	3	2	4	1	2	5	4	3	2	3	5	4	1	4	4	4	4	4	4
CZ16R25	3	1	3	2	3	1	2	2	2	3	1	2	2	3	2	2	3	3	4	4	1	5	5	4	2	3	1	2	4	1	2	2	3	2	2	1	4	3	2	3	3	6	5	1	1	3	3	2	2	4
CZ16R26	2	1	2	1	1	1	2	3	3	2	1	2	2	2	1	2	2	4	1	3	1	3	2	4	1	3	2	1	3	1	1	1	1	5	1	1	3	3	1	1	1	1	4	1	4	3	3	2	1	1
CZ16R27	3	2	5	4	4	2	2	4	4	3	4	4	4	6	4	4	6	4	5	5	1	6	3	3	5	2	4	3	5	3	2	3	4	5	1	3	6	5	2	2	2	5	5	2	5	5	4	4	5	6
