Rater	2040_M	4042_M	4090_M	4120_M	4130_M	4170_M	4200_M	6060_M	6080_M	7040_M	7060_M	7070_M	7090_M	7100_M	8010_M	8020_M	8030_M	8040_M	8050_M	8060_M	8070_M	8080_M	8090_M	8100_M	8110_M	9010_M	9012_M	9013_M	9020_M	9022_M	9023_M	9030_M	9032_M	9033_M	9040_M	9042_M	9043_M	9050_M	9052_M	9053_M	9060_M	9062_M	9063_M	9070_M	9072_M	9073_M	9082_M	9083_M	9102_M	9112_M
CZ16R1	3	2	2	2	2	3	3	2	2	2	1	2	4	2	3	2	2	2	2	4	4	2	5	3	2	2	1	5	3	2	3	3	2	3	5	2	1	2	3	3	3	4	2	2	7	4	3	2	2	1
CZ16R2	2	2	3	2	2	4	5	2	3	2	2	2	3	4	4	3	2	3	2	7	3	2	3	2	2	3	2	4	3	2	2	3	2	3	3	3	3	2	5	3	3	3	3	2	5	3	2	2	4	3
CZ16R3	2	3	4	2	1	5	4	2	3	3	2	3	2	4	5	2	3	2	2	6	5	2	4	3	2	3	1	6	3	2	3	2	1	4	2	2	3	3	5	4	4	4	5	2	6	3	2	2	4	2
CZ16R4	3	2	2	3	1	4	3	2	3	2	2	3	2	2	3	2	2	2	2	4	3	1	5	2	2	4	2	4	2	3	2	3	2	4	5	2	3	3	6	4	4	3	3	2	5	2	3	2	4	1
CZ16R5	1	1	1	2	2	4	2	4	3	3	2	3	2	4	3	2	2	2	2	4	6	1	6	3	2	2	2	3	4	4	3	2	2	2	4	3	2	4	5	7	3	3	3	2	6	5	3	3	4	1
CZ16R6	2	2	3	2	2	2	2	2	2	3	1	2	2	3	3	2	2	2	2	3	3	2	2	3	1	2	2	4	3	2	2	2	2	2	3	2	2	2	3	3	3	3	4	2	6	2	3	2	3	1
CZ16R7	3	2	2	2	1	3	3	2	4	2	2	3	4	2	2	2	4	2	2	4	3	1	3	3	2	2	2	5	2	2	3	3	2	4	3	3	2	2	3	5	3	2	6	2	7	2	5	2	4	2
CZ16R8	3	2	2	3	3	4	4	2	2	3	3	3	4	5	4	3	4	3	3	7	4	2	5	3	3	4	3	5	3	4	4	4	3	4	5	3	3	4	6	5	6	3	4	3	5	3	3	3	5	1
CZ16R9	1	5	1	2	1	4	2	6	4	1	1	3	5	1	2	2	1	1	1	2	2	1	6	2	2	4	1	6	3	4	2	1	3	5	2	1	2	7	1	5	3	1	4	1	7	3	3	1	5	4
CZ16R10	4	2	3	2	2	2	4	3	3	3	2	3	3	4	4	3	4	3	2	5	2	2	4	2	2	2	2	6	4	2	4	3	2	4	4	1	3	3	4	5	3	4	3	2	6	2	4	2	3	2
