Rater;IR_004;IR_008;IR_009;IR_013;IR_014;IR_015;IR_017;IR_019;IR_022;IR_023;IR_024;IR_025;IR_026;IR_027;IR_030;IR_031;IR_032;IR_035;IR_036;IR_037;IR_047;IR_049;IR_050;IR_051;IR_052;IR_054;IR_055;IR_057;IR_061;IR_062;IR_063;IR_064;IR_065;IR_067;IR_068;IR_070;IR_071;IR_072;IR_073;IR_075;IR_080;IR_082;IR_084
IR_F_Attr1;1;2;1;1;2;1;1;1;2;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;2;3;1
IR_F_Attr2;1;1;2;1;3;3;3;2;3;4;3;1;1;2;3;1;1;1;1;3;3;1;1;1;1;2;2;3;1;3;1;1;3;1;1;1;3;2;1;1;1;2;1
IR_F_Attr3;3;4;3;3;2;2;3;3;3;4;4;2;2;2;3;3;1;2;2;2;2;1;2;2;2;1;1;2;2;1;1;2;2;1;4;1;4;3;2;1;1;4;3
IR_F_Attr4;1;1;3;2;1;1;2;2;2;1;1;1;1;3;1;1;1;1;2;1;3;1;1;1;2;2;1;1;2;2;1;1;2;1;2;1;3;2;1;2;1;2;1
IR_F_Attr5;5;3;4;2;4;2;3;7;4;6;4;4;3;5;5;2;4;1;3;1;4;1;3;4;4;2;4;4;4;5;1;4;5;2;3;1;5;3;4;1;3;5;2
IR_F_Attr6;2;2;1;1;1;2;2;2;2;2;1;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;2;1;2;2;1;1;1;3;1
IR_F_Attr7;3;4;1;4;2;3;2;2;3;3;5;3;2;3;3;1;1;1;3;4;3;3;1;3;2;5;3;2;3;2;1;3;2;2;2;5;5;5;3;2;2;5;2
IR_F_Attr8;3;2;2;3;3;2;2;2;2;2;2;2;2;3;3;2;2;1;2;2;2;1;2;3;4;2;2;2;2;3;1;2;2;2;1;2;4;3;2;2;1;3;3
IR_F_Attr9;1;1;1;2;2;1;1;1;2;4;2;2;1;2;2;1;1;1;1;1;2;1;2;2;3;3;1;1;2;1;1;1;1;1;1;2;3;2;1;2;1;2;1
IR_F_Attr10;1;1;1;1;3;1;1;1;1;2;1;2;1;1;2;1;1;1;1;3;2;1;1;1;1;3;1;1;1;4;1;3;3;1;2;1;2;1;1;1;1;2;1
IR_F_Attr11;5;2;2;1;2;2;3;6;2;5;2;2;4;5;5;2;2;1;3;2;5;1;2;2;2;2;2;3;3;4;1;1;5;2;2;1;2;1;4;1;2;4;2
IR_F_Attr12;4;1;1;1;1;2;2;4;4;2;2;3;2;1;2;1;3;1;3;3;4;1;1;4;4;2;2;1;3;2;1;1;1;1;1;1;3;2;2;1;1;2;3
IR_F_Attr13;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;2;1
IR_F_Attr14;3;2;2;4;3;2;2;2;2;3;4;3;3;3;4;3;3;2;3;2;2;1;3;2;3;2;2;2;3;3;1;3;4;2;3;1;4;4;4;2;3;5;4
IR_F_Attr15;3;4;3;3;4;3;4;6;5;5;4;4;3;6;4;3;5;3;4;4;4;2;2;4;4;5;5;3;5;5;2;3;6;3;4;3;4;4;2;4;3;4;3
IR_F_Attr16;2;2;2;3;2;2;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;1;2;1;1;1;1;2;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2
IR_F_Attr17;3;4;3;4;4;2;2;1;4;2;2;3;2;3;4;3;1;1;3;3;5;1;2;3;2;3;2;2;3;2;1;1;2;2;1;1;3;6;1;1;3;4;2
IR_F_Attr18;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1
IR_F_Attr19;2;2;1;2;1;1;1;2;2;4;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;2;1;1;2;1;1;2;1;1;1;1;2;1;4;1;1;1;1
IR_F_Attr20;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;2;1
IR_F_Attr21;3;2;2;2;2;1;2;3;2;3;1;2;2;2;3;2;3;1;2;2;1;2;1;2;2;3;2;2;3;2;1;2;2;2;2;1;2;2;2;1;2;2;2
IR_F_Attr22;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1
IR_F_Attr23;1;2;1;1;1;1;1;3;1;4;1;1;1;2;2;1;2;1;3;1;2;1;1;2;2;2;2;1;2;3;1;1;1;1;1;1;2;2;2;2;1;3;2
IR_F_Attr24;5;2;2;3;1;2;2;2;3;3;3;3;2;2;5;2;1;1;3;3;2;1;2;3;2;4;2;2;3;2;1;3;4;1;3;2;2;3;3;2;2;4;2
IR_F_Attr25;5;3;3;5;4;2;4;3;4;3;3;4;4;5;5;3;3;2;4;4;3;2;3;3;4;5;2;4;5;4;3;4;2;4;3;3;5;4;4;4;3;6;5
IR_F_Attr26;3;1;1;2;1;1;1;2;1;2;1;1;1;1;2;1;2;1;1;1;1;1;1;1;3;2;1;2;1;3;1;1;2;1;1;1;3;1;2;1;1;2;1
IR_F_Attr27;4;4;3;4;3;1;2;5;4;4;4;3;2;4;4;1;3;1;2;2;3;1;4;3;5;4;3;6;4;3;2;1;3;3;3;2;2;3;1;3;2;5;2
IR_F_Attr28;2;1;1;2;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
IR_F_Attr29;4;3;3;4;2;2;2;4;4;4;4;2;4;5;5;2;5;3;3;5;4;1;2;5;3;3;4;3;3;3;2;2;3;3;3;5;5;4;3;4;5;1;3
IR_F_Attr30;1;1;1;1;1;1;1;2;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;3;1;1;1;1;2;1
IR_F_Attr31;3;2;3;4;5;4;5;5;3;6;4;4;3;4;4;1;7;2;4;3;4;1;3;4;4;5;3;2;3;6;1;3;4;2;2;2;5;5;2;4;2;6;3
IR_F_Attr32;3;1;1;3;1;1;1;3;2;3;1;1;2;2;3;1;2;1;1;2;2;1;1;1;3;2;2;3;2;2;1;1;1;1;1;3;2;2;2;2;1;3;1
IR_F_Attr33;1;1;1;1;1;1;2;2;1;1;1;1;1;1;2;1;3;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
IR_F_Attr34;3;1;1;1;1;1;4;4;2;4;1;1;1;5;1;1;3;1;1;3;3;1;1;1;3;2;3;2;2;5;1;1;2;1;1;1;1;1;1;1;1;3;2
IR_F_Attr35;2;1;1;2;1;1;1;2;2;3;1;1;1;2;2;1;2;1;2;2;3;1;1;1;2;2;1;1;3;3;1;1;2;1;1;1;2;2;2;1;1;4;2
IR_F_Attr36;2;2;1;2;2;2;2;3;2;2;1;2;2;3;4;2;3;1;2;2;3;1;1;2;3;2;2;1;3;3;2;1;2;1;3;1;4;2;2;2;1;4;3
IR_F_Attr37;3;3;3;4;3;3;3;3;3;4;4;3;3;3;4;3;4;2;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;4;3;4;3
