Rater;IR_004;IR_008;IR_009;IR_013;IR_014;IR_015;IR_017;IR_019;IR_022;IR_023;IR_024;IR_025;IR_026;IR_027;IR_030;IR_031;IR_032;IR_035;IR_036;IR_037;IR_047;IR_049;IR_050;IR_051;IR_052;IR_054;IR_055;IR_057;IR_061;IR_062;IR_063;IR_064;IR_065;IR_067;IR_068;IR_070;IR_071;IR_072;IR_073;IR_075;IR_080;IR_082;IR_084
IR_F_fem_1;5;6;5;6;6;7;6;7;7;6;6;5;6;6;7;5;5;6;6;6;6;5;5;6;6;7;6;5;6;6;4;4;6;5;6;4;7;6;6;7;5;7;6
IR_F_fem_2;5;5;4;6;6;5;6;5;5;6;4;5;5;5;6;4;6;4;5;5;6;4;4;6;5;6;4;5;6;5;3;4;5;4;6;3;6;5;5;3;3;6;5
IR_F_fem_3;4;4;4;4;3;3;4;4;4;5;2;5;3;3;4;3;5;2;3;4;2;1;3;6;3;4;2;4;3;3;1;3;2;3;4;4;6;3;3;3;3;5;3
IR_F_fem_4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;3;3;3;4;3;3;3;3;3;3;2;3;3;3;3;3;4;3;3;3;3;4;3
IR_F_fem_5;5;7;5;7;5;7;6;6;7;7;5;5;6;7;7;5;5;3;6;7;6;5;5;6;7;6;5;5;6;5;4;6;5;6;5;3;7;6;7;7;4;6;4
IR_F_fem_6;4;4;4;5;4;4;5;5;5;5;5;4;5;4;5;5;4;4;5;4;5;4;4;6;5;5;5;5;6;5;4;3;6;4;5;4;5;5;4;4;4;6;5
IR_F_fem_7;2;2;2;2;3;2;2;3;2;3;3;2;2;3;2;2;2;1;2;2;1;1;1;1;2;1;2;3;2;3;1;2;4;2;2;1;2;3;3;2;2;2;2
IR_F_fem_8;6;5;4;6;4;6;5;7;5;7;6;4;4;6;4;3;5;5;5;4;3;3;4;6;5;4;5;4;3;5;4;5;6;4;2;3;6;2;3;3;5;5;5
IR_F_fem_9;2;2;1;3;2;1;2;2;1;5;3;1;3;2;5;1;3;1;1;3;2;1;2;3;3;2;1;3;1;2;1;3;2;2;1;3;2;2;2;4;1;6;2
IR_F_fem_10;5;3;3;5;3;3;3;6;4;5;4;5;4;4;6;4;5;4;5;4;5;3;3;5;5;5;5;4;5;5;2;4;4;4;5;3;4;4;5;4;4;6;4
IR_F_fem_11;4;1;2;6;2;4;3;1;5;4;3;4;2;7;5;2;4;1;2;2;4;1;3;4;3;7;2;3;1;3;1;4;2;3;1;4;3;3;4;2;1;6;1
IR_F_fem_12;3;2;1;3;3;3;1;3;1;4;2;1;1;1;2;2;1;1;2;1;1;1;1;2;3;2;1;1;1;2;1;1;2;1;1;2;2;2;1;1;1;3;1
IR_F_fem_13;2;2;1;3;2;1;1;2;2;3;2;1;1;2;3;1;1;1;1;2;1;1;1;1;2;3;1;1;2;2;1;1;1;1;2;1;3;2;2;1;1;3;2
IR_F_fem_14;4;3;3;5;4;3;5;5;5;4;5;5;4;5;5;4;6;3;3;5;5;4;3;5;4;5;4;4;4;4;1;4;4;4;4;3;5;4;4;4;4;6;4
IR_F_fem_15;4;4;3;5;2;3;3;5;3;4;3;5;5;5;3;5;4;2;3;3;3;3;2;2;4;4;5;2;3;4;1;3;5;3;3;2;5;3;3;2;3;5;4
IR_F_fem_16;3;2;2;2;1;1;1;1;1;2;1;2;4;1;2;3;1;2;2;1;1;1;2;1;5;2;1;5;3;1;1;2;2;1;1;1;3;2;2;2;2;4;1
IR_F_fem_17;2;1;1;3;1;1;1;3;1;4;2;2;1;2;3;1;1;1;1;1;1;1;1;1;3;2;2;3;1;2;1;1;1;2;2;1;2;2;1;1;2;3;1
IR_F_fem_18;5;3;3;3;5;4;5;5;4;5;3;3;4;4;5;3;5;3;3;4;4;3;3;4;4;4;4;5;4;4;3;4;4;3;3;3;6;5;5;4;3;5;4
IR_F_fem_19;1;3;1;1;4;4;4;5;3;5;3;5;2;2;7;1;3;1;1;3;7;1;1;2;1;5;1;1;1;5;1;1;2;1;1;1;6;2;1;1;1;1;3
IR_F_fem_20;4;4;4;4;4;4;5;5;4;4;5;4;4;4;5;4;5;3;4;4;4;4;3;4;3;4;4;5;4;4;4;3;4;4;4;3;4;4;4;4;3;4;5
IR_F_fem_21;5;4;3;5;2;3;2;3;4;5;6;5;3;4;4;2;5;4;4;5;5;2;3;5;4;5;5;4;4;4;3;4;4;3;5;3;5;6;3;2;3;6;6
IR_F_fem_22;5;4;2;4;4;5;5;6;4;6;3;3;4;5;6;2;7;3;4;5;5;4;2;4;4;1;5;5;2;3;2;5;4;3;2;4;4;6;5;3;4;3;3
IR_F_fem_23;4;3;4;4;4;4;4;5;4;5;4;3;4;5;4;4;4;3;4;4;4;3;2;5;4;5;4;4;3;4;2;3;4;3;4;4;5;4;3;3;2;5;4
IR_F_fem_24;3;2;2;3;2;3;3;3;3;3;3;2;2;2;4;2;3;1;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;3;2;2;2;3;2
IR_F_fem_25;4;3;2;4;4;3;3;4;4;4;4;3;4;3;4;2;3;1;4;4;3;1;3;3;3;4;2;3;4;3;2;4;2;2;2;3;4;4;4;3;2;4;3
IR_F_fem_26;3;2;2;2;2;3;1;4;2;5;3;3;2;3;3;2;3;1;3;2;2;1;2;2;1;4;2;2;3;3;1;1;2;1;2;2;2;5;3;1;2;3;4
IR_F_fem_27;4;3;1;3;4;3;3;4;2;4;3;2;3;2;2;1;3;1;3;3;3;1;2;4;3;4;2;3;2;3;2;4;4;1;1;2;4;3;5;4;1;4;3
IR_F_fem_28;6;5;5;6;4;4;4;5;6;6;5;5;4;5;5;4;5;5;5;5;5;5;5;5;6;5;5;4;6;5;3;6;5;5;4;5;6;4;4;4;5;5;4
IR_F_fem_29;6;5;4;7;5;6;4;6;5;7;5;4;4;5;5;3;7;5;5;4;5;3;5;5;6;5;4;4;5;6;4;4;6;4;4;4;7;6;6;5;4;6;7
IR_F_fem_30;1;2;1;1;1;1;1;5;1;2;1;1;1;3;1;1;1;1;1;1;1;1;1;2;3;2;1;2;1;2;1;2;1;2;1;3;1;1;1;1;2;2;1
IR_F_fem_31;6;5;5;5;5;5;5;7;5;6;5;5;5;5;6;5;5;5;5;5;5;5;5;5;5;5;5;5;5;6;4;5;6;5;5;5;5;5;5;5;5;5;5
IR_F_fem_32;5;5;4;6;3;3;3;6;7;7;6;3;4;4;5;4;6;1;5;6;5;3;2;5;5;5;5;6;2;5;1;4;5;4;3;2;5;4;6;3;3;4;5
IR_F_fem_33;5;4;4;4;5;5;5;6;4;4;3;3;4;6;6;1;6;4;5;3;5;2;3;3;3;5;6;4;6;5;5;5;5;3;7;2;4;4;7;6;4;6;4
