Rater;IR_001;IR_003;IR_005;IR_006;IR_007;IR_010;IR_011;IR_012;IR_016;IR_018;IR_020;IR_021;IR_028;IR_029;IR_033;IR_034;IR_038;IR_039;IR_040;IR_041;IR_042;IR_043;IR_044;IR_045;IR_053;IR_058;IR_059;IR_069;IR_076;IR_077;IR_078;IR_079;IR_081;IR_083;IR_085;IR_086;IR_087;IR_088;IR_090;IR_091;IR_092;IR_093;IR_094;IR_095
IR_M_attr_1;1;2;1;1;3;3;3;1;4;1;4;1;1;2;2;2;1;1;3;1;5;2;1;1;1;1;1;1;2;1;3;5;1;2;1;1;2;3;2;1;1;1;1;2
IR_M_attr_2;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;3;1;1;1;3;2;1;1;1;1;3;1;1;1;1;1
IR_M_attr_3;1;3;1;1;1;3;1;1;2;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;3;1;2;1;1;1;1
IR_M_attr_4;1;2;1;1;2;1;3;3;1;1;1;1;2;1;1;1;1;1;2;1;2;1;1;1;3;1;3;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;2
IR_M_attr_5;2;2;1;1;1;2;2;1;2;1;1;2;2;1;4;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;3;2;1;1;1;4;1;2;1;1;1;1
IR_M_attr_6;1;4;2;4;4;5;5;2;4;3;4;1;5;5;3;1;1;2;4;3;2;2;4;3;2;3;5;2;3;2;3;3;5;5;1;3;3;4;2;2;2;4;2;3
IR_M_attr_7;1;4;1;1;2;2;2;2;3;2;3;1;3;1;3;3;1;2;3;1;2;1;1;1;4;1;5;2;2;1;1;3;2;3;1;1;1;1;2;3;2;2;1;1
IR_M_attr_8;3;3;1;3;3;3;3;3;3;1;3;2;4;2;3;2;1;2;1;2;2;1;2;3;4;2;3;1;1;2;2;4;2;3;2;2;1;3;2;2;1;3;2;2
IR_M_attr_9;1;4;1;1;1;1;2;2;2;1;2;1;1;1;2;2;1;2;3;1;1;1;1;2;5;2;1;1;1;1;1;1;3;3;1;1;2;1;1;2;5;1;1;3
IR_M_attr_10;1;1;1;1;1;1;1;1;3;1;1;1;4;1;2;1;1;1;1;1;2;1;1;1;3;1;1;1;1;1;1;1;3;3;1;1;1;2;1;1;1;1;1;4
IR_M_attr_11;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;3;4;4;3;4;4;4;4;4;3;4;3;4;4;4;3;4;5;3;4;4;4;4;4;4;4;3;4
IR_M_attr_12;2;3;2;3;3;3;3;2;3;2;4;2;3;2;3;2;2;3;3;2;3;3;2;3;3;1;3;2;3;3;3;3;3;2;2;3;2;3;2;3;2;3;1;3
IR_M_attr_13;2;1;1;4;3;2;4;2;1;2;1;1;3;1;1;1;3;1;5;1;1;1;1;1;4;1;4;1;3;1;1;1;5;3;1;1;2;5;1;3;1;3;1;2
IR_M_attr_14;1;2;1;1;1;2;2;2;1;1;2;2;5;1;3;1;1;2;3;1;2;2;1;1;4;3;3;1;1;1;1;3;2;1;1;2;1;3;1;2;1;1;1;1
IR_M_attr_15;2;3;1;1;2;2;2;3;3;2;2;1;3;1;2;1;1;3;3;1;2;1;2;2;4;2;2;2;3;4;3;3;2;2;1;2;1;3;1;2;1;1;1;3
IR_M_attr_16;2;1;1;2;4;2;3;2;1;2;3;1;3;2;3;2;1;1;3;3;3;1;2;2;2;2;2;2;1;2;2;1;2;3;2;3;1;2;1;4;1;2;1;1
IR_M_attr_17;1;3;1;1;2;3;4;2;1;1;1;1;5;3;1;2;1;1;1;1;1;1;1;1;3;1;4;1;1;1;1;2;4;5;1;1;1;3;3;1;1;1;1;1
IR_M_attr_18;1;3;1;1;2;2;1;2;1;1;1;1;2;1;1;1;1;1;3;1;1;1;1;1;3;1;2;1;1;1;1;2;1;2;1;1;1;1;1;2;1;1;1;1
IR_M_attr_19;3;3;1;1;2;3;2;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;4;1;3;1;2;1;1;3;1;1;1;1;1;1;2;1;1;1;1;2
IR_M_attr_20;7;2;3;1;6;2;6;6;7;1;6;4;7;7;5;1;1;1;7;3;1;4;1;6;7;1;3;1;7;1;3;1;7;7;1;5;1;7;1;1;5;6;1;7
IR_M_attr_21;2;4;1;3;4;3;3;2;5;2;3;2;2;2;3;2;1;1;3;2;2;1;1;4;2;3;3;2;2;1;2;1;4;3;1;2;2;3;1;2;1;2;1;2
IR_M_attr_22;2;3;1;3;3;2;2;4;2;2;1;1;2;2;3;3;1;1;2;1;2;2;1;2;3;2;2;2;2;1;1;2;3;2;1;2;1;2;3;2;1;2;1;2
IR_M_attr_23;1;1;1;1;1;2;1;1;1;1;1;1;3;2;1;1;1;1;1;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;1
IR_M_attr_24;1;1;1;1;2;1;2;1;2;2;1;1;2;1;1;1;2;1;1;2;1;1;1;1;3;2;1;2;2;1;2;2;2;2;1;1;1;2;1;2;1;1;1;3
IR_M_attr_25;2;2;2;3;2;2;2;2;4;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;3;2;2;2;2;2
IR_M_attr_26;1;2;2;1;1;2;2;2;2;2;1;1;2;1;1;2;1;2;2;1;1;1;1;1;1;1;2;1;1;2;1;1;2;2;1;2;1;2;1;1;2;2;1;1
IR_M_attr_27;1;3;1;2;2;3;2;3;3;2;2;1;3;2;1;2;2;1;3;1;2;1;1;2;3;1;3;2;2;1;1;2;4;3;1;2;1;3;1;3;1;1;1;2
IR_M_attr_28;1;1;1;1;1;1;1;4;2;1;1;1;3;1;7;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;4;1;3;1;1;1;1;1;1;1;1;1;1
