Rater;IR_001;IR_003;IR_005;IR_006;IR_007;IR_010;IR_011;IR_012;IR_016;IR_018;IR_020;IR_021;IR_028;IR_029;IR_033;IR_034;IR_038;IR_039;IR_040;IR_041;IR_042;IR_043;IR_044;IR_045;IR_053;IR_058;IR_059;IR_069;IR_076;IR_077;IR_078;IR_079;IR_081;IR_083;IR_085;IR_086;IR_087;IR_088;IR_090;IR_091;IR_092;IR_093;IR_094;IR_095
IR_M_masc_1;5;4;4;4;4;4;6;7;5;5;5;4;6;3;6;4;4;4;7;3;4;6;5;3;5;2;6;5;5;5;7;6;6;5;5;5;7;5;5;6;6;5;5;7
IR_M_masc_2;6;5;6;5;6;5;5;6;5;6;6;6;5;5;5;5;5;5;6;5;5;6;7;6;5;6;6;6;5;5;6;6;6;6;6;4;6;6;6;6;5;5;6;5
IR_M_masc_3;3;4;2;2;2;4;3;3;3;1;3;2;3;1;2;2;1;1;3;2;2;2;2;4;2;4;4;2;4;3;1;4;3;5;4;1;2;3;2;3;1;1;2;4
IR_M_masc_4;7;4;6;7;5;6;6;4;5;6;6;7;3;4;4;3;6;7;7;5;6;7;7;5;4;6;7;7;7;6;7;7;6;6;4;6;6;6;7;7;4;6;4;4
IR_M_masc_5;4;4;4;3;5;4;3;5;4;4;4;4;3;4;5;4;4;3;5;5;4;3;5;4;4;3;5;6;5;4;4;5;5;5;4;4;4;4;4;6;4;4;4;3
IR_M_masc_6;3;5;3;2;2;4;2;3;4;2;2;5;5;3;6;3;2;3;6;2;3;1;3;3;3;3;3;5;3;2;1;4;4;7;1;1;4;4;4;4;1;4;2;4
IR_M_masc_7;6;5;5;4;4;5;4;6;4;4;5;5;5;4;4;5;3;3;7;4;5;4;5;5;6;3;6;5;7;4;5;6;6;5;5;4;5;5;6;7;5;5;5;4
IR_M_masc_8;3;4;5;3;3;4;4;5;5;5;6;4;4;3;5;6;2;3;6;6;5;4;5;5;5;4;5;4;5;3;5;6;5;6;4;6;4;5;6;5;4;4;5;6
IR_M_masc_9;5;7;7;7;6;6;5;7;7;6;7;7;6;6;7;4;5;6;7;6;7;4;7;6;5;7;6;7;7;6;6;7;7;7;7;7;6;5;7;7;7;7;7;6
IR_M_masc_10;6;4;5;6;6;5;7;5;5;6;7;6;5;4;6;3;5;4;7;4;6;4;6;3;4;4;6;7;7;6;7;7;6;5;7;6;6;6;6;7;3;7;5;4
