Rater;22;23;29;33;37;39;43;46;47;53;61;62;65;66;69;73;115;116;120;132;135;137;153;154;156;176;178;185;188;200;205;206;219;227;232;238;258;275;282;286;303;307;309;310;334;340;341;345;355;366;380;382;398;419;429;441;444;447;452;453;454;456;457;460;465;468;470;473;474;475;484;486;490;492;493;497;502;503;505;513;514;521;523;526;527;532;533;534;535;536;537;539;542
Tur_F_fem1;;;;;;;4;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;
Tur_F_fem2;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem3;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;5;;;2;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;4
Tur_F_fem4;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;5;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem5;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;4;;;;;;;;;;;;;;;4;;;;;;;;;;;;;5;;;;;
Tur_F_fem6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;5;;;;;;;;;
Tur_F_fem7;;2;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;4;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Tur_F_fem8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;3;;;;;;2;;;;;;;
Tur_F_fem9;;;;;;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;5;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;6;;
Tur_F_fem10;;;;;;;;;;;;;;;;;;;;4;;;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;2;;;4
