Culture_Year;Sex;ID;L_skin;L_iris;a_iris;b_iris;L_sclera;a_sclera;b_sclera;Age;Attr;SexT;Nat;Group;LOCAL_DIST;SexTypMeas;Asym
Cameroon_2013;F;ID5_2_M_CMR13_DSC_0037.jpg (Lab):L;40,44;5,18;3,763;-0,442;41,78;9,855;12,639;22;3,764705882;5,532467532;CMR;Cameroon_2013 F;0,055705768;-1,241338868;0,06923735
Cameroon_2013;F;ID6_1_F_CMR13_DSC_0040.jpg (Lab):L;49,125;7,981;6,664;3,122;44,907;10,731;15,04;23;3,411764706;5,090909091;CMR;Cameroon_2013 F;0,034316628;-0,774792121;0,064217489
Cameroon_2013;F;ID7_2_F_CMR13_DSC_0049.jpg (Lab):L;38,016;5,152;2,967;-2,177;57,67;5,983;13,029;23;3,441176471;4,532467532;CMR;Cameroon_2013 F;0,035225137;-0,868090168;0,077289358
Cameroon_2013;F;ID8_1_F_CMR13_DSC_0044.jpg (Lab):L;44,644;6,13;3,749;-2,345;59,876;4,985;12,632;23;3,852941176;5,714285714;CMR;Cameroon_2013 F;0,049437137;1,317215254;0,071126299
Cameroon_2013;F;ID17_1_F_CMR13_DSC_0001.jpg (Lab):L;35,992;4,727;2,382;-0,155;40,234;8,401;11,791;18;2,411764706;4,74025974;CMR;Cameroon_2013 F;0,046464924;0,790852177;0,064897173
Cameroon_2013;F;ID18_2_F_CMR13_DSC_0006.jpg (Lab):L;30,46;4,078;2,845;-0,041;39,276;8,858;12,98;21;2,264705882;3,597402597;CMR;Cameroon_2013 F;0,04933951;-0,068394818;0,069038604
Cameroon_2013;F;ID19_2_F_CMR13_DSC_0010.tif ;41,802;3,544;2,105;-0,19;43,921;8,16;15,471;22;3,382352941;4,896103896;CMR;Cameroon_2013 F;0,045789505;-0,784414349;0,074950897
Cameroon_2013;F;ID20_2_F_CMR13_DSC_0014.jpg (Lab):L;37,985;4,583;3,062;-1,019;51,548;6,861;12,207;22;4,424242424;5,584415584;CMR;Cameroon_2013 F;0,060092366;-0,809585327;0,076341978
Cameroon_2013;F;ID25_2_F_CMR13_.jpg (Lab):L;27,979;3,619;2,445;0,537;36,534;6,776;11,731;23;1,970588235;3,623376623;CMR;Cameroon_2013 F;0,051114603;0,946603591;0,073443978
Cameroon_2013;F;ID26_1_F_CMR13_DSC_0041.jpg (Lab):L;37,345;6,324;4,359;1,058;49,665;6,385;9,493;18;3,058823529;4,675324675;CMR;Cameroon_2013 F;0,073796431;1,311049596;0,063983666
Cameroon_2013;F;ID27_2_F_CMR13_DSC_0050.jpg (Lab):L;30,313;2,45;2,266;-0,197;36,854;8,534;11,211;25;2,558823529;4,350649351;CMR;Cameroon_2013 F;0,059648809;-0,98142676;0,072072366
Cameroon_2013;F;ID28_2_F_CMR13_DSC_0046.jpg (Lab):L;29,582;3,426;1,797;-0,296;38,744;9,631;13,309;21;3,823529412;5,220779221;CMR;Cameroon_2013 F;0,046535105;1,295741884;0,080946879
Cameroon_2013;F;ID33_1_F_CMR13_DSC_0187.jpg (Lab):L;35,67;3,68;1,658;-1,098;29,848;10,208;11,577;21;3,735294118;5,662337662;CMR;Cameroon_2013 F;0,04558;0,977319973;0,099256707
Cameroon_2013;F;ID34_2_F_CMR13_DSC_0180.jpg (Lab):L;37,459;3,536;1,573;-0,719;37,122;5,991;9,4;21;2,294117647;3,779220779;CMR;Cameroon_2013 F;0,036607126;-0,664098793;0,066492746
Cameroon_2013;F;ID35_2_F_CMR13_DSC_0184.jpg (Lab):L;31,186;3,156;1,711;-0,588;26,114;9,612;11,318;18;2,970588235;4,909090909;CMR;Cameroon_2013 F;0,081379685;-0,605455793;0,064607153
Cameroon_2013;F;ID36_1_F_CMR13_DSC_0175.jpg (Lab):L;38,716;3,3;1,434;-0,076;36,727;8,346;12,412;20;4,264705882;5,597402597;CMR;Cameroon_2013 F;0,069976367;2,066294208;0,067153341
Cameroon_2013;F;ID37_2_F_CMR13_DSC_0172.jpg (Lab):L;38,331;4,32;2,49;0,78;45,513;13,595;20,849;22;1,764705882;3,974025974;CMR;Cameroon_2013 F;0,074638743;1,285888725;0,076852205
Cameroon_2013;F;ID38_2_F_CMR13_DSC_0159.jpg (Lab):L;40,611;6,162;3,991;-1,903;47,161;6,89;10,8;22;4,147058824;5,441558442;CMR;Cameroon_2013 F;0,05822176;0,24242178;0,072836003
Cameroon_2013;F;ID39_2_F_CMR13_DSC_0163.jpg (Lab):L;39,017;2,841;1,085;-0,22;44,338;6,189;10,018;22;3,470588235;5,428571429;CMR;Cameroon_2013 F;0,05430402;0,409270817;0,0754291
Cameroon_2013;F;ID40_1_F_CMR13_DSC_0166.jpg (Lab):L;29,011;4,086;2,188;-0,11;43,789;9,638;16,559;20;1,882352941;4,298701299;CMR;Cameroon_2013 F;0,0403843;0,261316334;0,071697925
Cameroon_2013;F;ID41_1_F_CMR13_DSC_0203.jpg (Lab):L;39,939;4,697;2,503;-1,76;54,067;6,775;15,191;20;2,909090909;4,662337662;CMR;Cameroon_2013 F;0,036476642;1,439344088;0,072936253
Cameroon_2013;F;ID42_1_F_CMR13_DSC_0199.jpg (Lab):L;27,734;4,764;3,174;0,431;37,323;9,646;13,537;25;2,705882353;4,064935065;CMR;Cameroon_2013 F;0,043987882;-1,096771164;0,063722675
Cameroon_2013;F;ID43_1_F_CMR13_DSC_0191.jpg (Lab):L;31,101;2,903;1,441;-1,81;49,381;9,411;14,358;24;2,970588235;4,896103896;CMR;Cameroon_2013 F;0,051223624;-0,293139054;0,071704761
Cameroon_2013;F;ID44_2_F_CMR13_DSC_0196.jpg (Lab):L;37,045;3,626;1,983;-0,721;38,717;6,196;9,097;20;3,117647059;5,454545455;CMR;Cameroon_2013 F;0,062993947;-0,565950526;0,067297873
Cameroon_2013;F;ID53_1_F_CMR13_DSC_0251.jpg (Lab):L;27,107;4,081;2,259;-1,406;39,569;12,352;13,808;23;3,176470588;3,974025974;CMR;Cameroon_2013 F;0,065822668;-1,285346301;0,079353419
Cameroon_2013;F;ID54_2_F_CMR13_DSC_0244.jpg (Lab):L;39,3;5,232;4,717;1,683;43,368;9,798;10,936;19;2,705882353;4,792207792;CMR;Cameroon_2013 F;0,057038844;0,836381366;0,071259249
Cameroon_2013;F;ID55_1_F_CMR13_DSC_0239.jpg (Lab):L;34,142;4,583;2,19;-1,179;39,567;9,92;14,739;25;2,852941176;4,697368421;CMR;Cameroon_2013 F;0,050888187;-0,515918341;0,066129605
Cameroon_2013;F;ID56_1_F_CMR13_DSC_0247.jpg (Lab):L;39,756;4,738;3,816;0,526;46,187;7,135;10,699;20;3,058823529;5,246753247;CMR;Cameroon_2013 F;0,061268936;-1,589921417;0,062900148
Cameroon_2013;F;ID61_2_F_CMR13_DSC_0284.jpg (Lab):L;37,558;5,48;3,451;0,19;49,112;6,716;12,6;21;2,147058824;4,454545455;CMR;Cameroon_2013 F;0,03804176;-0,278231991;0,086216417
Cameroon_2013;F;ID62_2_F_CMR13_DSC_0276.jpg (Lab):L;32,222;4,708;2,729;-0,318;42,531;9,198;13,852;23;2,852941176;4,337662338;CMR;Cameroon_2013 F;0,055926741;-0,154805106;0,07224513
Cameroon_2013;F;ID63_2_F_CMR13_DSC_0272.jpg (Lab):L;48,147;5,987;3,788;0,729;46,16;7,426;10,966;19;3,852941176;5,779220779;CMR;Cameroon_2013 F;0,054425766;-1,772922824;0,065017054
Cameroon_2013;F;ID64_1_F_CMR13_DSC_0279.jpg (Lab):L;37,97;4,308;2,065;-1,61;43,934;8,035;11,32;22;2,588235294;4,545454545;CMR;Cameroon_2013 F;0,051605587;0,08997719;0,076419914
